date,total,nobl,growth
2015-01-06 00:00:00-05:00,1146933.2323476973,797661.1525925293,349272.07975516794
2015-01-07 00:00:00-05:00,1163644.6251059494,809870.173967109,353774.4511388404
2015-01-08 00:00:00-05:00,1181974.051996338,821428.3224704611,360545.72952587676
2015-01-09 00:00:00-05:00,1173089.1291067726,814916.8391571596,358172.289949613
2015-01-12 00:00:00-05:00,1163982.4348150091,809544.7375314952,354437.6972835141
2015-01-13 00:00:00-05:00,1162575.4607974922,808242.4408688348,354333.0199286573
2015-01-14 00:00:00-05:00,1155411.5729464057,803033.2542181936,352378.31872821215
2015-01-15 00:00:00-05:00,1148560.0526175206,800753.8612198273,347806.1913976932
2015-01-16 00:00:00-05:00,1160946.438468777,809056.7009324044,351889.73753637285
2015-01-20 00:00:00-05:00,1162761.0478678346,808079.1323793794,354681.9154884552
2015-01-21 00:00:00-05:00,1167669.617005184,811172.6280355422,356496.98896964185
2015-01-22 00:00:00-05:00,1184684.475291287,821590.8439310518,363093.63136023516
2015-01-23 00:00:00-05:00,1177510.422553103,813614.1489800668,363896.2735730363
2015-01-26 00:00:00-05:00,1178719.4588557659,815242.0394841138,363477.4193716521
2015-01-27 00:00:00-05:00,1162621.3975196418,808567.7198986757,354053.67762096605
2015-01-28 00:00:00-05:00,1150388.0665627383,798149.3465973932,352238.719965345
2015-01-29 00:00:00-05:00,1162564.2382999868,806939.9080975151,355624.33020247176
2015-01-30 00:00:00-05:00,1146295.605805892,793428.5900602752,352867.0157456169
2015-02-02 00:00:00-05:00,1157995.0168657117,802056.393991147,355938.62287456467
2015-02-03 00:00:00-05:00,1173135.9578672692,813777.0639550899,359358.89391217934
2015-02-04 00:00:00-05:00,1168589.5414663213,809544.7375314952,359044.8039348261
2015-02-05 00:00:00-05:00,1178533.0023760106,816381.8146861835,362151.18768982723
2015-02-06 00:00:00-05:00,1174869.1653543832,814916.8391571596,359952.32619722374
2015-02-09 00:00:00-05:00,1167857.2866622894,809056.7009324044,358800.5857298849
2015-02-10 00:00:00-05:00,1179790.0616652472,815405.0331620234,364385.02850322385
2015-02-11 00:00:00-05:00,1180628.0993422084,814916.8391571596,365711.26018504874
2015-02-12 00:00:00-05:00,1191723.1225233597,821753.6802031883,369969.4423201714
2015-02-13 00:00:00-05:00,1199782.9337373485,826637.3517153295,373145.582022019
2015-02-17 00:00:00-05:00,1199480.836142825,825986.2427354425,373494.59340738255
2015-02-18 00:00:00-05:00,1202283.416929495,828265.3209222629,374018.09600723215
2015-02-19 00:00:00-05:00,1201528.3588998686,825660.4127853963,375867.9461144722
2015-02-20 00:00:00-05:00,1209413.6770605403,831032.7505197201,378380.9265408203
2015-02-23 00:00:00-05:00,1208983.6230216832,830218.6478619237,378764.97515975963
2015-02-24 00:00:00-05:00,1213006.8660969744,833962.7802806544,379044.0858163198
2015-02-25 00:00:00-05:00,1211413.3713594622,833311.6713007676,378101.70005869464
2015-02-26 00:00:00-05:00,1212844.762618581,832823.3985930172,380021.3640255639
2015-02-27 00:00:00-05:00,1208890.1555094179,830544.0055946509,378346.1499147669
2015-03-02 00:00:00-05:00,1216706.0696263702,834939.5618048146,381766.50782155566
2015-03-03 00:00:00-05:00,1210530.56403777,830544.0055946509,379986.5584431191
2015-03-04 00:00:00-05:00,1204995.1194497666,826474.5941460793,378520.5253036874
2015-03-05 00:00:00-05:00,1208099.9154953563,828916.1150906039,379183.80040475243
2015-03-06 00:00:00-05:00,1189481.892430897,814591.1666128864,374890.7258180108
2015-03-09 00:00:00-04:00,1196098.5371603235,820125.7109962548,375972.82616406865
2015-03-10 00:00:00-04:00,1176746.0382505697,807753.9320524251,368992.10619814455
2015-03-11 00:00:00-04:00,1172337.6184093328,805474.6177569452,366863.0006523875
2015-03-12 00:00:00-04:00,1186955.5724784955,817684.2687546167,369271.3037238788
2015-03-13 00:00:00-04:00,1180628.885560108,812963.0400001799,367665.8455599283
2015-03-16 00:00:00-04:00,1195631.500727762,823218.8918408718,372412.6088868903
2015-03-17 00:00:00-04:00,1191340.9593129354,818335.0629229577,373005.8963899777
2015-03-18 00:00:00-04:00,1203958.9495294993,827288.3032894434,376670.646240056
2015-03-19 00:00:00-04:00,1199471.2176873065,822242.0316138251,377229.18607348145
2015-03-20 00:00:00-04:00,1209076.0588577464,829405.0961243325,379670.96273341385
2015-03-23 00:00:00-04:00,1207690.1977790403,828753.8297386727,378936.36804036755
2015-03-24 00:00:00-04:00,1202256.0047766536,824683.9460727822,377572.0587038714
2015-03-25 00:00:00-04:00,1185084.228135947,816153.1040980592,368931.1240378877
2015-03-26 00:00:00-04:00,1181373.5061227826,813701.6665898376,367671.839532945
2015-03-27 00:00:00-04:00,1185130.782947434,815989.6382028308,369141.1447446032
2015-03-30 00:00:00-04:00,1199006.0905736296,825632.1584491484,373373.93212448125
2015-03-31 00:00:00-04:00,1190476.9376353468,821055.9004116161,369421.0372237307
2015-04-01 00:00:00-04:00,1182505.926833637,815009.157643006,367496.7691906312
2015-04-02 00:00:00-04:00,1187980.476769283,820238.6496383602,367741.8271309226
2015-04-06 00:00:00-04:00,1196872.2647947844,826121.926511742,370750.33828304237
2015-04-07 00:00:00-04:00,1193627.6964943795,823507.1018111783,370120.59468320117
2015-04-08 00:00:00-04:00,1198364.1667001583,825304.990550032,373059.17615012615
2015-04-09 00:00:00-04:00,1203159.036048112,827755.9558409348,375403.0802071772
2015-04-10 00:00:00-04:00,1205679.3313813866,828736.987320965,376942.3440604216
2015-04-13 00:00:00-04:00,1202446.4874698683,826448.7008964259,375997.7865734425
2015-04-14 00:00:00-04:00,1203159.6571636235,828246.4322295066,374913.224934117
2015-04-15 00:00:00-04:00,1207628.389916273,830371.1740559308,377257.2158603422
2015-04-16 00:00:00-04:00,1204978.8424523869,828246.4322295066,376732.41022288025
2015-04-17 00:00:00-04:00,1190276.932009289,819421.7136766503,370855.21833263885
2015-04-20 00:00:00-04:00,1201395.6840517088,824978.058759575,376417.6252921338
2015-04-21 00:00:00-04:00,1202514.5006945664,824487.7397767762,378026.76091779023
2015-04-22 00:00:00-04:00,1206539.4733921397,826448.7008964259,380090.7724957137
2015-04-23 00:00:00-04:00,1209771.5306160855,828246.4322295066,381525.09838657884
2015-04-24 00:00:00-04:00,1213968.4320457967,827265.8729667952,386702.5590790014
2015-04-27 00:00:00-04:00,1210374.4224716858,824651.2843748911,385723.13809679484
